접수번호,법인구분,고유번호,법인명,이름,성별,생년월일,직위,등기임원여부,상근여부,담당업무,주요경력,최대주주와의관계,재직기간,임기만료일,보고서연도
20220316000897,Y,00156859,다올투자증권,최석종,남,1961년 06월,부회장,사내이사,상근,부회장,"고려대 정치외교학
연세대경영대학원 MBA
교보증권 IB금융본부장",발행회사임원,2016.06.09~,2022년 03월 26일,2021
20220316000897,Y,00156859,다올투자증권,이창근,남,1964년 11월,사장,사내이사,상근,대표이사,"동국대 농경제학
KTB투자증권 IB부문 부문대표",발행회사임원,2009.03.27~,2023년 03월 24일,2021
20220316000897,Y,00156859,다올투자증권,김형남,남,1956년 03월,"감사
위원",사내이사,상근,감사위원,"국민대 법학, 연세대 행정대학원
삼성선물(주) 상근감사",발행회사임원,2018.03.30~,2024년 03월 24일,2021
20220316000897,Y,00156859,다올투자증권,"Benny
Chung",남,1973년 06월,이사,사외이사,비상근,감사위원,"University of Toronto
현)Co-CEO, Tonghai Financial",해당사항없음,2018.03.30~,2023년 03월 24일,2021
20220316000897,Y,00156859,다올투자증권,정유신,남,1959년 10월,이사,사외이사,비상근,"리스크관리위원
보수위원","서울대 경제학, 
Univ. of Pennsylvania 대학원 MBA
현)서강대학교 경영학과 교수",해당사항없음,2019.03.27~,2022년 03월 26일,2021
20220316000897,Y,00156859,다올투자증권,"Ting
Chen",여,1983년 06월,이사,사외이사,비상근,-,"Tongji University
현)Sole Director, Alpha Frontier Ltd",해당사항없음,2019.03.27~,2022년 03월 26일,2021
20220316000897,Y,00156859,다올투자증권,이현주,남,1959년 01월,이사,사외이사,비상근,"감사위원
보수위원
임원후보
추천위원","고려대 경영학
미시간 경영대학원 경영학 MBA
하나은행 자문위원",해당사항없음,2020.03.26~,2023년 03월 25일,2021
20220316000897,Y,00156859,다올투자증권,이  혁,남,1963년 07월,이사,사외이사,비상근,"리스크관리
위원
임원후보
추천위원","고려대 법학
홍익대학교 세무대학원 최고위과정
현)법무법인 LEE & LEE 대표변호사",해당사항없음,2021.03.25~,2024년 03월 24일,2021
20230316000958,Y,00156859,다올투자증권,이병철,남,1969년 03월,회장,사내이사,상근,대표이사,"고려대 경영학(중퇴)
현)다올금융그룹 회장",최대주주본인,2016.07.13~,2025년 03월 23일,2022
20230316000958,Y,00156859,다올투자증권,최석종,남,1961년 06월,부회장,사내이사,상근,부회장,"고려대 정치외교학
연세대경영대학원 MBA
교보증권 IB금융본부장",발행회사임원,2016.06.09~,2023년 03월 24일,2022
20230316000958,Y,00156859,다올투자증권,이창근,남,1964년 11월,사장,사내이사,상근,대표이사,"동국대 농경제학
다올투자증권 IB부문 대표",발행회사임원,2009.03.27~,2023년 03월 24일,2022
20230316000958,Y,00156859,다올투자증권,김형남,남,1956년 03월,"감사
위원",사내이사,상근,감사위원,"국민대 법학, 연세대 행정대학원
삼성선물(주) 상근감사",발행회사임원,2018.03.30~,2024년 03월 24일,2022
20230316000958,Y,00156859,다올투자증권,이현주,남,1959년 01월,이사,사외이사,비상근,"감사위원
임원후보
추천위원","고려대 경영학
미시간 경영대학원 경영학 MBA
Hana Bancorp. President ",해당사항없음,2020.03.26~,2023년 03월 24일,2022
20230316000958,Y,00156859,다올투자증권,이  혁,남,1963년 07월,이사,사외이사,비상근,"리스크관리
위원
임원후보
추천위원","고려대 법학
홍익대학교 세무대학원 최고위과정
현)법무법인 LEE & LEE 대표변호사",해당사항없음,2021.03.25~,2024년 03월 24일,2022
20230316000958,Y,00156859,다올투자증권,박찬수,남,1962년 07월,이사,사외이사,비상근,"감사위원
보수위원","서울대 경영학, 
University of Michigan MBA
Stanford University 통계학 석사, 
경영학 박사
고려대학교 교수",해당사항없음,2022.03.24~,2025년 03월 23일,2022
20230316000958,Y,00156859,다올투자증권,이상무,남,1968년 12월,이사,사외이사,비상근,"임원후보
추천위원
리스크관리
위원","서울대 경제학
서울대 대학원 경영학과(재무) 수료
(주)에스엘플랫폼 대표이사",해당사항없음,2022.03.24~,2024년 03월 24일,2022
20230316000958,Y,00156859,다올투자증권,기은선,여,1977년 08월,이사,사외이사,비상근,"감사위원
보수위원","고려대 경영학
서울대 대학원 경영학 석사
고려대 대학원 경영학 박사
강원대학교 경영회계학부 부교수",해당사항없음,2022.03.24~,2025년 03월 23일,2022
20210324000823,K,00238782,다우데이타,김익래,남,1950년 12월,대표이사,등기임원,상근,대표이사,"연세대(석사) 경영학 졸, 한국IBM", 최대주주 본인 ,2009,2021년 03월 30일,2020
20210324000823,K,00238782,다우데이타,정윤환,남,1972년 09월,이사대우,미등기임원,상근,재무담당,서강대(석사) MBA 졸, 해당 사항 없음 ,1999,-,2020
20210324000823,K,00238782,다우데이타,장용준,남,1973년 04월,이사대우,미등기임원,상근,영업담당,인천전문대학교 졸, 해당 사항 없음 ,2004,-,2020
20210324000823,K,00238782,다우데이타,이인복,남,1956년 12월,대표이사,등기임원,상근,대표이사,서울대 계산통계학과 졸, 해당 사항 없음 ,2016,2023년 03월 30일,2020
20210324000823,K,00238782,다우데이타,고성학,남,1959년 12월,사외이사,등기임원,비상근,사외이사,"한국정보인증 대표, 한국정보인증 고문", 해당 사항 없음 ,2019,2021년 03월 29일,2020
20210324000823,K,00238782,다우데이타,곽진철,남,1950년 01월,감사,등기임원,상근,감사,"성균관대 법률학 졸, ㈜키움저축은행 사내이사", 해당 사항 없음 ,2020,2023년 03월 26일,2020
20210324000823,K,00238782,다우데이타,성백진,남,1967년 12월,전무,등기임원,상근,영업담당,세종대 회계학 졸, 해당 사항 없음 ,2016,2023년 03월 30일,2020
20210324000823,K,00238782,다우데이타,조성준,남,1971년 01월,상무,미등기임원,상근,영업담당,숭실대(석사) IT경영학과 졸, 해당 사항 없음 ,1999,-,2020
20210324000823,K,00238782,다우데이타,안광일,남,1968년 07월,상무보,미등기임원,상근,기술담당,충북대 컴퓨터과학 졸, 해당 사항 없음 ,2013,-,2020
20210324000823,K,00238782,다우데이타,김성범,남,1967년 10월,이사,미등기임원,상근,영업담당,제주국제대학교 전자공학 졸, 해당 사항 없음 ,2008,-,2020
20210324000823,K,00238782,다우데이타,이용,남,1975년 01월,이사대우,미등기임원,상근,영업담당,국민대 자동차공학 졸, 해당 사항 없음 ,2007,-,2020
20220324000790,K,00238782,다우데이타,김익래,남,1950년 12월,대표이사,사내이사,상근,대표이사,"연세대(석사) 경영학 졸, 한국IBM", 계열회사 임원 ,2009,2022년 03월 30일,2021
20220324000790,K,00238782,다우데이타,이용,남,1975년 01월,이사,미등기,상근,영업담당,국민대(석사) 기계공학 수료,-,2007,-,2021
20220324000790,K,00238782,다우데이타,정윤환,남,1972년 09월,이사대우,미등기,상근,재무담당,서강대(석사) MBA 졸,-,1999,-,2021
20220324000790,K,00238782,다우데이타,장용준,남,1973년 04월,이사대우,미등기,상근,영업담당,인천전문대학교 전산응용기계 졸,-,2004,-,2021
20220324000790,K,00238782,다우데이타,정범화,남,1976년 01월,이사대우,미등기,상근,영업담당,서울디지털대학교 경영학 졸,-,2014,-,2021
20220324000790,K,00238782,다우데이타,이인복,남,1956년 12월,대표이사,사내이사,상근,대표이사,서울대 계산통계학과 졸, 계열회사 임원 ,2016,2021년 12월 31일,2021
20220324000790,K,00238782,다우데이타,고성학,남,1959년 12월,사외이사,사외이사,비상근,사외이사,"숭실대(박사) 한국정치학 졸, 한국정보인증 대표", 계열회사 임원 ,2019,2022년 03월 30일,2021
20220324000790,K,00238782,다우데이타,곽진철,남,1950년 01월,감사,감사,상근,감사,"성균관대 법률학 졸, ㈜키움저축은행 사내이사", 계열회사 임원 ,2020,2023년 03월 26일,2021
20220324000790,K,00238782,다우데이타,성백진,남,1967년 12월,대표이사,사내이사,상근,대표이사,세종대 회계학 졸, 계열회사 임원 ,2016,2023년 03월 30일,2021
20220324000790,K,00238782,다우데이타,조성준,남,1971년 01월,상무,미등기,상근,영업담당,숭실대(석사) IT경영학과 졸,-,1999,-,2021
20220324000790,K,00238782,다우데이타,김성오,남,1971년 05월,상무,미등기,상근,영업담당,한국외대 일본어 졸,-,2000,-,2021
20220324000790,K,00238782,다우데이타,안광일,남,1968년 07월,상무보,미등기,상근,기술담당,충북대 컴퓨터과학 졸,-,2004,-,2021
20220324000790,K,00238782,다우데이타,김성범,남,1967년 10월,이사,미등기,상근,영업담당,제주국제대학교 전자공학 졸,-,2008,-,2021
20230322001218,K,00238782,다우데이타,김익래,남,1950년 12월,회장,기타비상무이사,비상근,기타비상무이사,"연세대(석사) 경영학 졸, 한국IBM",계열회사 임원,2009,2025년 03월 30일,2022
20230322001218,K,00238782,다우데이타,이용,남,1975년 01월,이사,미등기,상근,영업담당,국민대(석사) 기계공학 수료,-,2007,-,2022
20230322001218,K,00238782,다우데이타,장용준,남,1973년 04월,이사,미등기,상근,영업담당,인천전문대학교 전산응용기계 졸,-,2004,-,2022
20230322001218,K,00238782,다우데이타,정범화,남,1976년 01월,이사대우,미등기,상근,영업담당,서울디지털대학교 경영학 졸,-,2014,-,2022
20230322001218,K,00238782,다우데이타,조유신,남,1972년 02월,이사대우,미등기,상근,영업담당,중앙대(석사) 국제경영학 졸,-,2022,-,2022
20230322001218,K,00238782,다우데이타,성백진,남,1967년 12월,대표이사,사내이사,상근,대표이사,세종대 회계학 졸,계열회사 임원,2016,2023년 03월 30일,2022
20230322001218,K,00238782,다우데이타,박광호,남,1950년 07월,사외이사,사외이사,비상근,사외이사,"서울대 경제학 졸, 중앙대 신문방송대학원(석사) 졸",계열회사 임원,2022,2024년 03월 30일,2022
20230322001218,K,00238782,다우데이타,곽진철,남,1950년 01월,감사,감사,상근,감사,"성균관대 법률학 졸, ㈜키움저축은행 사내이사",계열회사 임원,2020,2023년 03월 30일,2022
20230322001218,K,00238782,다우데이타,정윤환,남,1972년 09월,이사,사내이사,상근,재무담당,서강대(석사) MBA 졸,계열회사 임원,1999,2025년 03월 30일,2022
20230322001218,K,00238782,다우데이타,조성준,남,1971년 01월,상무,미등기,상근,영업담당,숭실대(석사) IT경영학과 졸,-,1999,-,2022
20230322001218,K,00238782,다우데이타,김성오,남,1971년 05월,상무,미등기,상근,영업담당,한국외대 일본어 졸,-,2000,-,2022
20230322001218,K,00238782,다우데이타,안광일,남,1968년 07월,상무보,미등기,상근,기술담당,충북대 컴퓨터과학 졸,-,2004,-,2022
20230322001218,K,00238782,다우데이타,김성범,남,1967년 10월,상무보,미등기,상근,영업담당,제주국제대학교 전자공학 졸,-,2008,-,2022
20210317000735,Y,00131850,SK증권,김신,남,1963년 11월,사장,등기임원,상근,대표이사," ·서울대 경영학
 ·연세대 경제학 석사
 ·미래에셋증권 대표이사
 ·현대증권 대표이사
 ·한국예탁결제원 비상임이사
 ·SKSIA(홍콩법인) CEO (現)
 ·금융투자협회 비상근 회원이사 (現)",-,84개월,2023년 03월 24일,2020
20210317000735,Y,00131850,SK증권,전우종,남,1964년 05월,전무,미등기임원,상근,"경영지원
부문장"," ·서강대 경영학
 ·서강대 경영학 석사
 ·동원경제연구소
 ·SK증권 리스크관리실장
 ·SKSIA(홍콩법인) Director (現)
 ·SKSPE 비상근감사 (現)",-,120개월,2020년 12월 31일,2020
20210317000735,Y,00131850,SK증권,"김정열
(주1)",남,1964년 04월,전무,미등기임원,상근,"기업금융
사업부 대표"," ·Univ. of Illinois, Chicago 경제학
 ·Univ. of Iowa, Tippie 경영학 석사
 ·SK증권 기업금융1팀장
 ·SK증권 IB부문장",-,72개월,-,2020
20210317000735,Y,00131850,SK증권,"하영호
(주1)",남,1965년 12월,전무,미등기임원,상근,"글로벌
사업부 대표"," ·서울대 경영학
 ·KAIST 경영학 석사
 ·현대자산운용 운용/영업 총괄
 ·SK증권 FICC본부장",-,48개월,-,2020
20210317000735,Y,00131850,SK증권,"채진욱
(주1)",남,1967년 03월,단장,미등기임원,상근,글로벌AI사업추진단장," ·Cornell Univ. 경제학
 ·Credit Agricole Indosuez
 ·ABN AMRO Bank Seoul
 ·BNP Paribas Bank Seoul 총괄본부장",-,37개월,-,2020
20210317000735,Y,00131850,SK증권,Richard Yoon,남,1962년 05월,단장,미등기임원,상근,비전추진실," ·한양대 영어영문학
 ·Macquarie Univ. 응용금융학 석사
 ·ANZ National Bank
 ·Ferratum OYJ",-,17개월,-,2020
20210317000735,Y,00131850,SK증권,"Ryan 
Jeon",남,1972년 12월,단장,미등기임원,상근,GIB본부장," ·Cal Poly San Luis, Science
 ·Loyola Marymount Univ. 경영학 석사
 ·Citigroup Global Markets Asia - HK
 ·HAMON Asset Management - HK",-,15개월,-,2020
20210317000735,Y,00131850,SK증권,전범식,남,1966년 11월,전무,미등기임원,상근,"구조화금융
사업부 대표"," ·국민대 행정학
 ·고려대 경영학 석사
 ·사학연금공단
 ·현대증권 투자금융본부장",-,72개월,-,2020
20210317000735,Y,00131850,SK증권,정준호,남,1966년 09월,전무,미등기임원,상근,"비전추진
실장 겸
이사회
사무국장 겸
Digital금융
사업부 대표"," ·서울대 공법학
 ·연세대 경영학 석사
 ·대신증권 IB1본부 팀장
 ·SK증권 전략기획실장",-,60개월,2022년 12월 31일,2020
20210317000735,Y,00131850,SK증권,박삼규,남,1970년 11월,전무,미등기임원,상근,"투자사업부
대표"," ·경희대 회계학
 ·연세대 금융공학 석사
 ·KGI증권
 ·미래에셋대우 FICC파생본부장",-,23개월,-,2020
20210317000735,Y,00131850,SK증권,"김응삼
(주1)",남,1964년 08월,상무,미등기임원,상근,임원실," ·연세대 경영학
 ·메리츠증권
 ·대우증권 파생운용본부장",-,72개월,-,2020
20210317000735,Y,00131850,SK증권,서남철,남,1963년 05월,"사외
이사",등기임원,비상근,사외이사," ·조선대 법학
 ·인천지방법원 판사
 ·녹십자랩셀 감사 (現)
 ·법무법인 중부로 (現)",-,45개월,2023년 03월 24일,2020
20210317000735,Y,00131850,SK증권,구태영,남,1964년 05월,전무,미등기임원,상근,"준법감시
본부장"," ·연세대 경제학
 ·Thunderbird MBA
 ·금융감독원 자산운용서비스국 수석조사역
 ·한화자산운용 리스크관리본부장
 ·트리니티자산운용 비상근감사 (現)",-,68개월,2022년 12월 31일,2020
20210317000735,Y,00131850,SK증권,이창용,남,1962년 01월,전무,미등기임원,상근,"리스크관리
본부장"," ·서강대 경영학
 ·건국대 부동산학 석사
 ·현대증권 채권본부장
 ·SK증권 채권운용본부장
 ·SKSIA(홍콩법인) Director (現)",-,60개월,-,2020
20210317000735,Y,00131850,SK증권,최석원,남,1966년 05월,전무,미등기임원,상근,리서치센터장," ·연세대 경제학
 ·연세대 경제학 석사
 ·한화투자증권 리서치센터장
 ·메리츠화재 자산운용부",-,56개월,-,2020
20210317000735,Y,00131850,SK증권,유성훈,남,1964년 07월,상무,미등기임원,상근,"Coverage
본부장"," ·고려대 경영학
 ·SK증권 기업금융2본부장
 ·SK㈜ Portfolio최적화 담당",-,24개월,-,2020
20210317000735,Y,00131850,SK증권,최성운,남,1968년 10월,상무,미등기임원,상근,구조화본부장," ·부산대 경영학
 ·SK증권 SF팀장",-,60개월,-,2020
20210317000735,Y,00131850,SK증권,"정경태
(주1)",남,1965년 05월,상무,미등기임원,상근,"해외솔루션
추진단장"," ·서울대 경영학
 ·서울대 경영학 석사
 ·Prive Financial 대표
 ·SKSIA 법인장",-,21개월,-,2020
20210317000735,Y,00131850,SK증권,"박하성
(주1)",남,1960년 08월,상무,미등기임원,상근,GIB본부," ·연세대 경영학
 ·연세대 경영학 석사
 ·Samsung Securities Asia 채권데스크 상무
 ·KDB채권중개 채권영업본부 전무",-,15개월,-,2020
20210317000735,Y,00131850,SK증권,최창훈,남,1970년 01월,상무,미등기임원,상근,"기업문화
본부장"," ·연세대 경제학
 ·HSBC은행
 ·SK증권 해운대마린PIB센터장",-,60개월,-,2020
20210317000735,Y,00131850,SK증권,김동환,남,1969년 08월,상무,미등기임원,상근,"기획재무
본부장"," ·성균관대 회계학
 ·SK증권 인력팀장
 ·조인에셋 자산운용 기타비상무이사 (現)",-,48개월,-,2020
20210317000735,Y,00131850,SK증권,오민영,남,1967년 11월,상무,미등기임원,상근,"법인사업부
대표"," ·충남대 행정학
 ·SK증권 채권영업팀장",-,33개월,-,2020
20210317000735,Y,00131850,SK증권,노희진,남,1954년 09월,"사외
이사",등기임원,비상근,"사외이사인
 감사위원"," ·성균관대 무역학
 ·서울대 경영학 석사
 ·Univ. of Georgia 경영학 박사
 ·코스콤 상임감사",-,45개월,2023년 03월 24일,2020
20210317000735,Y,00131850,SK증권,최용훈,남,1962년 01월,상무,미등기임원,상근,IT지원본부장," ·동국대 전산학
 ·SK증권 BO팀장",-,60개월,-,2020
20210317000735,Y,00131850,SK증권,김인원,남,1966년 12월,상무,미등기임원,상근,"법인영업
본부장"," ·연세대 경영학
 ·서울대 경영학 석사
 ·대우증권
 ·SK증권 Passive영업팀장",-,33개월,-,2020
20210317000735,Y,00131850,SK증권,이성동,남,1966년 04월,상무보,미등기임원,상근,전략금융팀장," ·서울대 국제경제학
 ·BNK투자증권
 ·메리츠종금증권 캐피탈마케팅 상무
 ·현대차투자증권 대체투자실장",-,16개월,-,2020
20210317000735,Y,00131850,SK증권,이재완,남,1969년 02월,상무보,미등기임원,상근,"투자금융
본부장 겸
 투자금융
3팀장"," ·영남대 경영학
 ·SK증권 PI1팀장",-,24개월,-,2020
20210317000735,Y,00131850,SK증권,문한웅,남,1971년 07월,상무보,미등기임원,상근,구조화1실장," ·한국외대 경제학
 ·SK증권 CM1팀장",-,24개월,-,2020
20210317000735,Y,00131850,SK증권,류기문,남,1972년 09월,상무보,미등기임원,상근,구조화2실장," ·한국외대 무역학
 ·동양증권
 ·SK증권 CM2팀장",-,24개월,-,2020
20210317000735,Y,00131850,SK증권,"양승철
(주1)",남,1970년 05월,부단장,미등기임원,상근,글로벌AI사업추진부단장," ·연세대 경제학
 ·Credit Agricole Indosuez
 ·ABN AMRO Bank Seoul
 ·BNP Paribas Bank Seoul 수석본부장",-,37개월,-,2020
20210317000735,Y,00131850,SK증권,조윤기,남,1970년 06월,상무보,미등기임원,상근,"채권본부장
겸 프랍운용
팀장 겸
FICC운용팀장"," ·고려대 경영학
 ·LBS MSc in Finance
 ·OCBC Bank
 ·SK증권 채권상품운용팀장",-,24개월,-,2020
20210317000735,Y,00131850,SK증권,배성환,남,1967년 04월,상무보,미등기임원,상근,ECM본부장," ·한양대 경영학
 ·삼성증권
 ·SK증권 IPO팀장",-,24개월,-,2020
20210317000735,Y,00131850,SK증권,조수범,남,1967년 04월,"이사
대우",미등기임원,상근,"신탁본부장 겸
 Wrap
운용팀장"," ·서울대 경영학
 ·SK투자신탁운용
 ·SK증권 이천지점장",-,24개월,-,2020
20210317000735,Y,00131850,SK증권,배선영,남,1960년 02월,"사외
이사",등기임원,비상근,"사외이사인
 감사위원"," ·서울대 경제학
 ·서울대 경제학 석사
 ·재정경제부
 ·연세대 경제학과 겸임교수(現)",-,45개월,2023년 03월 24일,2020
20210317000735,Y,00131850,SK증권,박정석,남,1971년 09월,"이사
대우",미등기임원,상근,모바일본부장," ·충북대 통계학
 ·국민대 경영학 석사
 ·SK증권 Digital사업팀장",-,24개월,-,2020
20210317000735,Y,00131850,SK증권,강성호,남,1970년 03월,"이사
대우",미등기임원,상근,"상품혁신
본부장"," ·경희대 경영학
 ·HSBC은행
 ·SK증권 상품지원팀장",-,24개월,-,2020
20210317000735,Y,00131850,SK증권,손성범,남,1967년 06월,상무 보,미등기임원,상근,3지역본부장," ·청주대 영어학
 ·충북대 행정학 석사
 ·SK증권 안산지점장",-,22개월,-,2020
20210317000735,Y,00131850,SK증권,강중환,남,1964년 12월,"이사
대우",미등기임원,상근,진주지점장," ·경남대 무역학
 ·SK증권 창원지점장",-,24개월,-,2020
20210317000735,Y,00131850,SK증권,김평곤,남,1968년 06월,"이사
대우",미등기임원,상근,"서초PIB
센터장"," ·전남대 지역개발학
 ·한화투자증권
 ·SK증권 광주PIB센터장",-,24개월,-,2020
20210317000735,Y,00131850,SK증권,김남호,남,1970년 03월,"이사
대우",미등기임원,상근,"압구정PIB
센터장"," ·동국대 경영학
 ·SK증권 남양주지점장",-,24개월,-,2020
20210317000735,Y,00131850,SK증권,박진남,남,1972년 09월,"이사
대우",미등기임원,상근,"Equity본부장 겸
Trading팀장"," ·강원대 무역학
 ·성균관대 경영학 석사
 ·미래에셋증권
 ·신한금융투자",-,24개월,-,2020
20210317000735,Y,00131850,SK증권,김영성,남,1975년 04월,"이사
대우",미등기임원,상근,"AI플랫폼운용
본부장 겸
 퀀트
기획팀장"," ·성균관대 경영학
 ·성균관대 금융수학 석사/재무학 박사
 ·신한은행
 ·미래에셋대우",-,17개월,-,2020
20210317000735,Y,00131850,SK증권,조은아,여,1971년 09월,"이사
대우",미등기임원,상근,"프론트인프라
혁신추진단장"," ·아주대 정치외교학
 ·우리투자증권
 ·미래에셋대우",-,17개월,-,2020
20210317000735,Y,00131850,SK증권,강범,남,1967년 06월,"이사
대우",미등기임원,상근,"영업부PIB
센터장"," ·서강대 철학
 ·주식회사AMG
 ·주식회사GSEM
 ·SK증권 명동PIB센터장",-,12개월,-,2020
20210317000735,Y,00131850,SK증권,안수현,여,1969년 01월,"사외
이사",등기임원,비상근,사외이사," ·이화여대 법학
 ·이화여대 법학 석사
 ·서울대 법학 박사
 ·한국외대 법학전문대학원 교수 (現)",-,21개월,2022년 03월 28일,2020
20210317000735,Y,00131850,SK증권,강훈,남,1968년 08월,"이사
대우",미등기임원,상근,홍보실장," ·고려대 국어국문학
 ·SK증권 홍보실장",-,12개월,-,2020
20210317000735,Y,00131850,SK증권,공평근,남,1963년 10월,"이사
대우",미등기임원,상근,1지역본부장," ·전북대 경제학
 ·동원증권㈜
 ·SK증권 명동PIB센터장",-,12개월,-,2020
20210317000735,Y,00131850,SK증권,구민겸,남,1966년 06월,"이사
대우",미등기임원,상근,부산지점장," ·한국외대 이태리어
 ·대한투자신탁
 ·SK증권 부산지점장",-,12개월,-,2020
20210317000735,Y,00131850,SK증권,구자원,남,1971년 02월,"이사
대우",미등기임원,상근,"Retail혁신
본부장 겸
 Retail사업
추진팀장"," ·서강대 경영학
 ·포항제철
 ·SK증권 채널사업추진팀장",-,12개월,-,2020
20210317000735,Y,00131850,SK증권,국승훈,남,1969년 08월,"이사
대우",미등기임원,상근,심사팀장," ·고려대 경영학
 ·비에이치플렉스
 ·우리에프앤아이
 ·SK증권 심사팀장",-,12개월,-,2020
20210317000735,Y,00131850,SK증권,김기원,남,1972년 04월,"이사
대우",미등기임원,상근,정보전략팀장," ·고려대 화학공학
 ·ICM
 ·SK증권 정보전략팀장",-,12개월,-,2020
20210317000735,Y,00131850,SK증권,김영우,남,1972년 12월,"이사
대우",미등기임원,상근,"Active전략
팀장"," ·연세대 경제학
 ·HMC투자증권
 ·SK증권 Active전략팀장",-,12개월,-,2020
20210317000735,Y,00131850,SK증권,김형기,남,1969년 01월,"이사
대우",미등기임원,상근,"구조화금융
팀장"," ·한국외대 경영정보학
 ·SK증권 구조화금융팀장",-,12개월,-,2020
20210317000735,Y,00131850,SK증권,류병기,남,1966년 11월,"이사
대우",미등기임원,상근,"법인금융
본부장"," ·경북대 무역학
 ·해동화재
 ·신영증권
 ·교보증권",-,12개월,-,2020
20210317000735,Y,00131850,SK증권,박동간,남,1967년 03월,"이사
대우",미등기임원,상근,"금융소비자
보호팀장"," ·고려대 법학과
 ·Univ. of Illinois at Urbana 석사
 ·SK증권 금융소비자보호팀장",-,12개월,-,2020
20210317000735,Y,00131850,SK증권,최남수,남,1961년 07월,"사외
이사",등기임원,비상근,사외이사," ·서울대학교 경제학
 ·Univ. of Washington 경제학 석사
 ·머니투데이 대표이사
 ·YTN 대표이사 사장 
 ·서정대학교 교수 (現)",-,21개월,2021년 03월 28일,2020
20210317000735,Y,00131850,SK증권,박봉식,남,1974년 03월,"이사
대우",미등기임원,상근,"해운대마린
PIB센터장"," ·서강대 경제학
 ·SK증권 해운대마린PIB센터장",-,12개월,-,2020
20210317000735,Y,00131850,SK증권,백영수,남,1968년 02월,"이사
대우",미등기임원,상근,2지역본부장," ·계명대 경영학
 ·고려증권
 ·SK증권 수성PIB센터장",-,12개월,-,2020
20210317000735,Y,00131850,SK증권,송귀자,여,1972년 01월,"이사
대우",미등기임원,상근,업무개발팀장," ·교육부장관 학점은행 경영학
 ·SK증권 업무개발팀장",-,12개월,-,2020
20210317000735,Y,00131850,SK증권,유성호,남,1970년 10월,"이사
대우",미등기임원,상근,"명동PIB
센터장"," ·성균관대 경영학
 ·SK증권 명동PIB센터 부지점장",-,12개월,-,2020
20210317000735,Y,00131850,SK증권,윤보현,남,1977년 03월,"이사
대우",미등기임원,상근,"부동산
금융팀장"," ·건국대 건축공학
 ·건국대 부동산학 석사
 ·동양증권
 ·SK증권 부동산금융팀원",-,12개월,-,2020
20210317000735,Y,00131850,SK증권,윤현성,남,1970년 05월,"이사
대우",미등기임원,상근,"기후금융
본부장 겸
 기후금융
팀장"," ·인천대 영어영문학
 ·인천대 경영학 석사
 ·미래에셋증권
 ·SK증권 기후금융팀장",-,12개월,-,2020
20210317000735,Y,00131850,SK증권,이근성,남,1968년 08월,"이사
대우",미등기임원,상근,청주지점장," ·대전대 행정학
 ·NH투자증권
 ·SK증권 청주지점장",-,12개월,-,2020
